We can't find products matching the selection.,"Не откриваме продукти, които отговарят на изискванията."
Add to Cart,Добавете в количката
In stock,В наличност
Out of stock,Не е в наличност
Add to Wish List,Добавете в Желания
Add to Compare,Добавете за сравнение
Learn More,Научете още
"Resource with ID ""%1"" not found.","Ресурс с ID ""%1"" не е намерен."
Generic service exception %1,Общо сервизно изключение %1
Consumer is not authorized to access %1,Потребителят няма достъп до %1
Service not found,Услугата не е намерена
"Invalid value of ""%value"" provided for the %fieldName field.","Невалидна стойност на ""%value"", зададена в полето %fieldName."
Fixture base directory '%1' does not exist.,Fixture base директорията '%1' не съществува.
"Directory separator ""\"" is prohibited in fixture declaration.","Разделителят за директории ""\"" не е разрешен при декларирането на fixture."
Drop-down,Падащо меню
Select,Изберете
"""Email"" is not a valid email address.","""Email"" не е валиден имейл адрес."
%fieldName is a required field.,Задължително трябва да попълните полето %fieldName.
"Invalid ""@magentoAppArea"" annotation, can be ""%1"" only.","Невалидна анотация на ""@magentoAppArea"", може да бъде само ""%1""."
"Invalid ""@magentoAppIsolation"" annotation, can be ""enabled"" or ""disabled"" only.","Невалидна анотация на ""@magentoAppIsolation"", може да бъде само ""включено"" или ""изключено""."
"Invalid ""@magentoDbIsolation"" annotation, can be ""enabled"" or ""disabled"" only.","Невалидна анотация на ""@magentoDbIsolation"", може да бъде само ""включено"" или ""изключено""."
%1' is not a directory.,%1' не е директория.
Setting '%1' specifies the non-existing file '%2'.,Настройката '%1' сочи към несъществуващия файл '%2'.
Sequence with this metadata already exists,Такава поредица от мета-данни вече съществува.
"Instance of the ""Magento\TestFramework\EventManager"" is expected.","Трябва да подадете вид ""Magento\TestFramework\EventManager""."
Instance of the event manager is required.,Изисква се да включите мениджъра на събития.
Helper instance cannot be redefined.,Този помощник не може да бъде предефиниран.
Helper instance is not defined yet.,Този помощник все още не е дефиниран.
%1' is not readable file.,Файлът '%1' не може да бъде прочетен.
Setting 'non_existing' specifies the non-existing file ''.,Настройката 'non_existing' определя несъществуващия файл ''.
Setting 'item_label' specifies the non-existing file '%1Item Label.dist'.,Настройката 'item_label' определя несъществуващия файл '%1Item Label.dist'.
Synthetic model update failure.,Синтетичният модел не се актуализира успешно.
command not found,командата не е намерена
Incorrect CAPTCHA.,Невалиден код от картинката.
All valid rates have been saved.,Всички валидни курсове са запазени.
"Please correct the input data for ""%1 => %2"" rate.","Моля, коригирайте входящите данни за курса ""%1 => %2""."
Confirmation Not Required,Не се изисква потвърждение
The customer does not have default billing address.,Клиентът няма адрес за плащане по подразбиране.
Customer View,Клиентски изглед
If there is an account associated with %1 you will receive an email with a link to reset your password.,"Ако съществува акаунт, регистриран с %1, ще получите по имейл линк, чрез който да промените паролата си."
No such entity with %fieldName = %fieldValue,Не съществува обект с %fieldName = %fieldValue
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Не съществува обект с %fieldName = %fieldValue, %field2Name = %field2Value"
Fixture String,Тестов низ
Message,Съобщение
"Message with ""%1"" and ""%2""","Съобщение с ""%1"" and ""%2"""
Init action problem.,Проблем с действието за инициализация.
Construction problem.,Конструктивен проблем.
Prepare layout problem.,Проблем с изготвянето на оформление.
Customer My Account (All Pages),Моят профил (Всички страници)
All Empty Layout Pages,Всички страници с празно оформление
-- Please Select --,-- Моля изберете --
entity_label_1,entity_label_1
entity_label_2,entity_label_2
Catalog Search,Търсене в каталог
Rebuild Catalog product fulltext search index,Обновяване на пълно-текстов индекс на търсене за подукти
Consumer Key,Потребителски ключ
Consumer Secret,Потребителска тайна
Access Token,Токен за достъп
Access Token Secret,Тайна на токен за достъп
Not you?,Не сте вие?
"Welcome, %1!","Добре дошли, %1!"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
All Reviews of Customer `%1`,Всички отзиви от клиента `%1`
simple text,simple text
simple text with 1 string literal placeholder %1,simple text with 1 string literal placeholder %1
simple text with 1 variable placeholder %1,simple text with 1 variable placeholder %1
simple text with multiple placeholders %1 %2,simple text with multiple placeholders %1 %2
first part second part,first part second part
first part second part third part,first part second part third part
first part second part with one string literal placeholder %1,first part second part with one string literal placeholder %1
first part of concat second part with one variable placeholder %1,first part of concat second part with one variable placeholder %1
"first part of concat second part with two placeholders %1, %2","first part of concat second part with two placeholders %1, %2"
first part of concat second part third part with one placeholder %1,first part of concat second part third part with one placeholder %1
"first part of concat second part third part with two placeholders %1, %2","first part of concat second part third part with two placeholders %1, %2"
string with escaped 'single quotes',string with escaped 'single quotes'
string with placeholder in escaped single quotes '%1',string with placeholder in escaped single quotes '%1'
"string with ""double quotes""","string with ""double quotes"""
"string with placeholder in double quotes ""%1""","string with placeholder in double quotes ""%1"""
string with 'single quotes',string with 'single quotes'
string with placeholder in single quotes '%1',string with placeholder in single quotes '%1'
"string with escaped ""double quotes""","string with escaped ""double quotes"""
"string with placeholder in escaped double quotes ""%1""","string with placeholder in escaped double quotes ""%1"""
string that's got an unclosed single quote in it,string that's got an unclosed single quote in it
Helper,Помощник
Model,Модел
Module template,Шаблон за модул
Theme template,Шаблон за тема
Model unused,Моделът не се използва
Theme template unused,Шаблонът за темата не се използва
None,Няма
Unlocked %1 user(s).,Отключен(и) %1 потребител(и).
Capitalization of class name '%1' does not match expected '%2',Изписването с главни букви на името на клас '%1' не отговаря на очакваното '%2'
bla,бла
Invalid secure URL.,Невалиден защитен URL.
Invalid path: %1,Невалиден път: %1
phrase,фраза
Exception,Изключение
message,съобщение
Not Valid!,не е валиден!
When passing in a field array there must be a matching condition array.,When passing in a field array there must be a matching condition array.
When passing an array of fields there must be at least one field in the array.,When passing an array of fields there must be at least one field in the array.
The image content must be valid base64 encoded data.,"Съдържанието на изображението трябва да са валидни данни, кодирани като base64."
The image MIME type is not valid or not supported.,MIME типът на изображението не е валиден или не се поддържа.
Provided image name contains forbidden characters.,Зададеното име на изображението съдържа непозволени символи.
The image content is not valid.,Съдържанието на изображението не е валидно.
Cannot recognize image extension.,Разширението на изображението не е разпознато.
"The sort order has to be specified as a string, got %1.","Начинът на подреждане трябва да се определи като низ, получи се %1."
The sort order has to be specified as %1 for ascending order or %2 for descending order.,Начинът на подреждане трябва да се определи като %1 за възходящ ред или %2 за низходящ ред.
Invalid XML in file %1:\n%2,Невалиден XML във файла %1:\n%2
Deployment config file %1 is not writable.,Не може да се записва във файла с конфигурация за разгръщане %1.
Invalid header provider,Невалиден доставчик на хедър
File not found,Файлът не е намерен
Command returned non-zero exit code:\n`%1`,Командата доведе до различен от нула изходен код:\n`%1`
Area code is already set,Кодът вече е зададен
Area code is not set,Кодът не е зададен
error when writing file config file,грешка при записване на конфигурационния файл
Page not found.,Страницата не е открита.
Test,Тест
File does not exist,Файлът не съществува
Can't get contents from: %1,Не може да се извлече съдържание от: %1
Permission denied to write to %1,Няма права за запис в %1
Can't open file %1 for writing. Permission denied.,"Не може да се отвори файлът %1 , за да се осъществи запис. Достъп отказан."
File %1 does not exist,Файлът %1 не съществува
Permission denied to read file %1,Отказан достъп за четене на файла %1
Failed to open file %1,Неуспешно отваряне на файла %1
Failed to write data to %1,Неуспешен запис на данни в %1
Failed to read data from %1,Неуспешен опит за четене на данни от %1
File not opened,Файлът не е отворен
Can't scan dir: %1,Не може да се сканира директорията: %1
Failed to create directory %1,Неуспешно създаване на директория %1
%1' file extension is not supported,Файловото разширение '%1' не се поддържа.
Bad root directory,Неправилна главна директория.
Current implementation not supported this type (%1) of backup.,Текущото приложение не поддържа този тип (%1) бекъп.
Not enough permissions to read files for backup,"Липсват достатъчно разрешения, за да се прочетат файловете за бекъп."
Failed to create backup,Неуспешно създаване на бекъп
"Warning: necessary space for backup is ' . . 'MB, but your free disc space is ' . . 'MB.","Внимание: за създаване на бекъп е нужно пространство от ' . . 'MB, но вие разполагате с ' . . 'MB."
Cant create backups directory,Не може да се създаде директория за бекъпи
Backups directory is not writeable,В директорията за бекъпи не може да се записва
Can't load snapshot archive,Не може да се зареди архивът на моментните снимки
Unable to make rollback because not all files are writable,"Не може да се възстанови предишното състояние, тъй като не във всички файлове може да се записва."
dummy,макет
Unable to validate ftp account,Невъзможна валидация на ftp акаунт
Failed to validate ftp account,Неуспешна валидация на ftp акаунт
Failed to upload file %1 to ftp,Неуспешно качване на файла %1 във ftp
Invalid value for the node <slab_size>. Expected to be positive integer.,Невалидна стойност на възела <slab_size>. Трябва да бъде положително цяло число.
"Source class ""%1"" for ""%2"" generation does not exist.","Source class ""%1"" за поколение ""%2"" не съществува."
File already exists,Файлът вече съществува
"File with an extension ""%value%"" is protected and cannot be uploaded","Файл с разширение ""%value%"" е защитен и не може да бъде качен"
Incorrect argument sequence in class %1 in %2%3Required: $%4%5Actual  : $%6%7,Неправилна поредица от аргументи в класа %1 в %2%3Изискват се: $%4%5Налични са  : $%6%7
Invalid constructor argument(s) in %1,Невалиден(и) конструкторен(и) аргумент(и) в %1
Missed required argument %1 in parent::__construct call. File: %2,Липсва задължителният аргумент %1 в parent::__construct call. Файл: %2
Incompatible argument type: Required type: %1. Actual type: %2; File: %3%4%5,Несъвместим тип аргумент: Изисква се тип: %1. Наличен е тип: %2; Файл: %3%4%5
Extra parameters passed to parent construct: %1. File: %2,Допълнителни параметри предадени към parent construct: %1. Файл: %2
Incorrect dependency in class %1 in %2%3%4,Неправилна зависимост в класа %1 в %2%3%4
Argument type duplication in class %1 in %2%3%4,Дублиране на типове аргументи в класа %1 в %2%3%4
"Topic ""%topic"" is not configured.","Темата ""%topic"" не е конфигурирана."
Invalid Document %1%2,Невалиден документ %1%2
Invalid XML-file: %1%2%3,Невалиден XML файл: %1%2%3
More than one node matching the query: %1,Повече от един възел отговаря на заявката: %1
Unsupported format of schema location: '%1',Не се поддържа форматът на разположението на схемата: '%1'
Could not locate schema: '%1' at '%2',Не е открито разположението на схемата: '%1' at '%2'
File '%system' cannot be found,Файлът '%system' не е намерен
Could not read config file,Конфигурационният файл не се чете
.,.
%1 doesn't implement ThemeInterface,%1 не прилага ThemeInterface
Root element must not be empty or numeric,Главният елемент не трябва да е празен или числов.
Array root keys must not be numeric.,Главните ключове на масива не трябва да са числови.
Associative key must not be the same as its parent associative key.,Асоциативният ключ не трябва да е същия като съдържащия го асоциативен ключ.
Associative and numeric keys must not be mixed at one level.,Асоциативните и числови ключове не трябва да се смесват на едно ниво.
dbModel read resource does not implement \Magento\Framework\DB\Adapter\AdapterInterface,dbModel ресурсът за четене не прилага \Magento\Framework\DB\Adapter\AdapterInterface
Cannot execute multiple queries,Не може да се изпълнява повече от една заявка
"Select object must have correct ""FROM"" part","Избраният обект трябва да съдържа правилна част ""FROM"""
The columns for UPDATE statement are not defined,Колоните за UPDATE statement не са дефинирани
